;seguradora;date;total_venda;total_receita;valor_recebido;status
94;42;2019-09-01;1569,875;0,0;-1569,875;Inadimplente
95;42;2019-12-01;207,48;0,0;-207,48;Inadimplente
96;42;2020-06-01;1033,605;0,0;-1033,605;Inadimplente
97;43;2019-01-01;424,54999999999995;0,0;-424,54999999999995;Inadimplente
98;43;2019-04-01;68,64;79,255;10,614999999999995;Não inadimplente
99;43;2019-10-01;1900,245;0,0;-1900,245;Inadimplente
100;44;2019-01-01;18295,420000000002;2283,325;-16012,095000000001;Inadimplente
101;44;2019-02-01;6540,57;7830,405;1289,835;Não inadimplente
102;44;2019-03-01;9568,965;5185,795;-4383,17;Inadimplente
103;44;2019-04-01;45614,43;27944,835;-17669,595;Inadimplente
104;44;2019-05-01;15982,635;31420,84;15438,205;Não inadimplente
105;44;2019-06-01;17469,815;17787,115;317,3000000000029;Não inadimplente
106;44;2019-07-01;12595,255;19177,170000000002;6581,915000000003;Não inadimplente
107;44;2019-08-01;16232,920000000002;7082,849999999999;-9150,070000000003;Inadimplente
108;44;2019-09-01;21166,535;22166,87;1000,3349999999991;Não inadimplente
109;44;2019-10-01;46039,11;58286,72;12247,61;Não inadimplente
110;44;2019-11-01;8790,96;5360,79;-3430,169999999999;Inadimplente
111;44;2019-12-01;9182,755000000001;14568,405;5385,65;Não inadimplente
112;44;2020-01-01;10189,88;10207,87;17,9900000000016;Não inadimplente
113;44;2020-02-01;2701,295;2234,815;-466,48;Inadimplente
114;44;2020-03-01;1961,0349999999999;146,2199999999998;-1814,815;Inadimplente
115;44;2020-04-01;10741,555;2460,24;-8281,315;Inadimplente
116;44;2020-05-01;8803,78;8197,82;-605,960000000001;Inadimplente
117;44;2020-06-01;15706,570000000002;3126,1949999999997;-12580,375000000002;Inadimplente
118;51;2019-05-01;9097,725;0,0;-9097,725;Inadimplente
119;54;2019-07-01;3974,645;0,0;-3974,645;Inadimplente
120;54;2020-02-01;100,0;0,0;-100,0;Inadimplente
121;54;2020-03-01;-61581,835;100,0;61681,835;Não inadimplente
122;55;2019-01-01;7550,0;1283,105;-6266,895;Inadimplente
123;55;2019-02-01;823,91;0,0;-823,91;Inadimplente
124;55;2019-03-01;2395,345;823,91;-1571,435;Inadimplente
125;55;2019-04-01;827,24;9628,585000000001;8801,345000000001;Não inadimplente
126;55;2019-05-01;24300,935;0,0;-24300,935;Inadimplente
127;55;2019-06-01;9893,539999999999;38187,52;28293,979999999996;Não inadimplente
128;55;2019-07-01;8189,82;2681,15;-5508,67;Inadimplente
129;55;2019-08-01;48846,545;9626,105;-39220,44;Inadimplente
130;55;2019-10-01;86,0;9828,78;9742,78;Não inadimplente
131;55;2019-11-01;4271,885;154,75;-4117,135;Inadimplente
