;ano;mes;seguradora;vendedor;tot_apolices;venda;date;total_venda
449;2019;7;66;55;3;172,685;2019-07-01;518,0550000000001
450;2019;7;44;42;4;546,405;2019-07-01;2185,62
451;2019;7;44;12;5;278,73;2019-07-01;1393,65
452;2019;7;77;20;1;2329,63;2019-07-01;2329,63
453;2019;7;23;16;1;51,015;2019-07-01;51,015
454;2019;8;31;38;3;2193,42;2019-08-01;6580,26
455;2019;8;66;14;5;507,225;2019-08-01;2536,125
456;2019;8;72;18;1;43,02;2019-08-01;43,02
457;2019;8;21;16;2;797,57;2019-08-01;1595,14
458;2019;8;66;20;3;141,52;2019-08-01;424,56000000000006
459;2019;8;72;43;5;517,865;2019-08-01;2589,325
460;2019;8;72;38;4;1382,2;2019-08-01;5528,8
461;2019;8;66;1;8;430,485;2019-08-01;3443,88
462;2019;8;72;12;17;817,66;2019-08-01;13900,22
463;2019;8;72;16;16;4518,89;2019-08-01;72302,24
464;2019;8;64;16;2;72,95;2019-08-01;145,9
465;2019;8;31;9;2;53,25;2019-08-01;106,5
466;2019;8;66;39;3;522,83;2019-08-01;1568,4900000000002
467;2019;8;23;20;1;172,46;2019-08-01;172,46
468;2019;8;31;16;5;622,64;2019-08-01;3113,2
469;2019;8;66;2;5;264,005;2019-08-01;1320,025
470;2019;8;55;1;1;150,515;2019-08-01;150,515
471;2019;8;72;19;2;368,76;2019-08-01;737,52
472;2019;8;19;13;1;265,285;2019-08-01;265,285
473;2019;8;31;57;1;1480,235;2019-08-01;1480,235
474;2019;8;44;14;3;107,35;2019-08-01;322,04999999999995
475;2019;8;44;16;4;569,395;2019-08-01;2277,58
476;2019;8;31;39;1;81,5;2019-08-01;81,5
477;2019;8;72;59;6;417,94;2019-08-01;2507,64
478;2019;8;72;39;2;283,46;2019-08-01;566,92
479;2019;8;66;43;4;578,685;2019-08-01;2314,74
480;2019;8;66;57;1;54,79;2019-08-01;54,79
481;2019;8;21;25;2;175,0;2019-08-01;350,0
482;2019;8;66;19;13;646,215;2019-08-01;8400,795
483;2019;8;6;12;1;-137,08;2019-08-01;-137,08
484;2019;8;44;17;1;73,1;2019-08-01;73,1
485;2019;8;62;27;27;320,0;2019-08-01;8640,0
486;2019;8;55;20;4;5732,45;2019-08-01;22929,8
487;2019;8;44;2;1;69,0;2019-08-01;69,0
488;2019;8;72;35;1;92,54;2019-08-01;92,54
489;2019;8;72;56;5;873,705;2019-08-01;4368,525000000001
490;2019;8;72;15;1;157,52;2019-08-01;157,52
491;2019;8;31;56;1;157,305;2019-08-01;157,305
492;2019;8;72;42;2;233,42;2019-08-01;466,84
493;2019;8;64;26;4;993,07;2019-08-01;3972,28
494;2019;8;66;16;11;1052,615;2019-08-01;11578,765
495;2019;8;72;9;3;386,555;2019-08-01;1159,665
496;2019;8;31;35;5;43908,04;2019-08-01;219540,2
497;2019;8;66;35;6;341,63;2019-08-01;2049,7799999999997
498;2019;8;55;12;1;25766,23;2019-08-01;25766,23
499;2019;8;66;56;6;348,655;2019-08-01;2091,93
500;2019;8;62;22;4;2532,45;2019-08-01;10129,8
501;2019;8;72;1;1;349,15;2019-08-01;349,15
502;2019;8;23;16;2;3410,83;2019-08-01;6821,66
503;2019;8;72;55;1;289,75;2019-08-01;289,75
504;2019;8;44;1;1;86,25;2019-08-01;86,25
505;2019;8;44;9;1;68,195;2019-08-01;68,195
506;2019;8;66;9;1;105,265;2019-08-01;105,265
507;2019;8;72;41;3;667,885;2019-08-01;2003,655
508;2019;8;31;14;1;210,17;2019-08-01;210,17
509;2019;8;72;44;2;2123,405;2019-08-01;4246,81
510;2019;8;66;59;3;53,68;2019-08-01;161,04
511;2019;8;66;55;7;744,665;2019-08-01;5212,655
512;2019;8;72;14;10;6058,185;2019-08-01;60581,850000000006
513;2019;8;44;38;7;290,455;2019-08-01;2033,185
514;2019;8;66;17;2;2165,27;2019-08-01;4330,54
515;2019;8;21;56;1;54,5;2019-08-01;54,5
516;2019;8;72;2;5;399,375;2019-08-01;1996,875
517;2019;8;72;17;2;370,21;2019-08-01;740,42
518;2019;8;31;55;1;274,295;2019-08-01;274,295
519;2019;8;72;13;1;90,195;2019-08-01;90,195
520;2019;8;72;46;2;410,88;2019-08-01;821,76
521;2019;8;44;12;6;1055,735;2019-08-01;6334,41
522;2019;8;66;38;2;440,785;2019-08-01;881,57
523;2019;8;44;59;1;71,25;2019-08-01;71,25
524;2019;8;77;20;1;2319,855;2019-08-01;2319,855
525;2019;8;78;25;1;50,0;2019-08-01;50,0
526;2019;8;72;20;1;2154,725;2019-08-01;2154,725
527;2019;8;72;47;1;86,43;2019-08-01;86,43
528;2019;8;44;42;14;349,85;2019-08-01;4897,900000000001
529;2019;8;66;58;1;236,755;2019-08-01;236,755
530;2019;9;72;12;13;1109,27;2019-09-01;14420,51
531;2019;9;66;20;10;253,825;2019-09-01;2538,25
532;2019;9;35;22;1;273,97;2019-09-01;273,97
533;2019;9;64;22;2;200,54;2019-09-01;401,08
534;2019;9;72;39;1;621,07;2019-09-01;621,07
535;2019;9;72;59;1;102,705;2019-09-01;102,705
536;2019;9;44;16;13;560,895;2019-09-01;7291,635
537;2019;9;66;17;1;59,795;2019-09-01;59,795
538;2019;9;66;44;2;243,03;2019-09-01;486,06
539;2019;9;72;1;13;1399,175;2019-09-01;18189,274999999998
540;2019;9;72;35;2;291,17;2019-09-01;582,34
541;2019;9;31;9;3;149,0;2019-09-01;447,0
542;2019;9;44;42;2;69,0;2019-09-01;138,0
543;2019;9;21;16;1;855,115;2019-09-01;855,115
544;2019;9;66;16;20;1257,755;2019-09-01;25155,100000000002
545;2019;9;6;17;1;73,085;2019-09-01;73,085
546;2019;9;66;1;3;145,6;2019-09-01;436,79999999999995
547;2019;9;44;38;5;493,295;2019-09-01;2466,475
548;2019;9;72;38;9;1776,735;2019-09-01;15990,615
549;2019;9;66;14;1;51,785;2019-09-01;51,785
550;2019;9;31;57;4;1747,73;2019-09-01;6990,92
551;2019;9;72;2;2;110,255;2019-09-01;220,51
552;2019;9;66;42;2;244,25;2019-09-01;488,5
553;2019;9;72;9;12;2423,415;2019-09-01;29080,98
554;2019;9;44;17;2;74,0;2019-09-01;148,0
555;2019;9;75;27;3;106,835;2019-09-01;320,505
556;2019;9;66;35;1;60,12;2019-09-01;60,12
557;2019;9;44;9;5;161,325;2019-09-01;806,625
558;2019;9;66;56;1;96,415;2019-09-01;96,415
559;2019;9;72;44;2;667,705;2019-09-01;1335,41
560;2019;9;44;57;1;354,95;2019-09-01;354,95
561;2019;9;72;55;2;51,85;2019-09-01;103,7
562;2019;9;66;39;3;241,96;2019-09-01;725,88
563;2019;9;72;14;2;389,935;2019-09-01;779,87
564;2019;9;64;16;1;66,795;2019-09-01;66,795
565;2019;9;72;16;13;2824,355;2019-09-01;36716,615
566;2019;9;66;9;5;357,96;2019-09-01;1789,8
567;2019;9;42;20;1;1569,875;2019-09-01;1569,875
568;2019;9;21;57;1;3740,865;2019-09-01;3740,865
569;2019;9;23;16;2;50,0;2019-09-01;100,0
570;2019;9;72;17;1;95,415;2019-09-01;95,415
571;2019;9;31;20;1;457,26;2019-09-01;457,26
572;2019;9;31;16;4;308,275;2019-09-01;1233,1
573;2019;9;35;20;1;67,88;2019-09-01;67,88
574;2019;9;31;14;1;141,59;2019-09-01;141,59
575;2019;9;66;59;1;71,42;2019-09-01;71,42
576;2019;9;44;54;1;997,3;2019-09-01;997,3
577;2019;9;72;20;2;430,4;2019-09-01;860,8
578;2019;9;62;22;2;100,0;2019-09-01;200,0
579;2019;9;44;12;10;890,405;2019-09-01;8904,05
580;2019;9;62;27;31;360,0;2019-09-01;11160,0
581;2019;9;66;19;4;1198,405;2019-09-01;4793,62
582;2019;9;72;54;1;108,34;2019-09-01;108,34
583;2019;9;66;57;2;53,57;2019-09-01;107,14
584;2019;9;68;22;1;156,1275;2019-09-01;156,1275
585;2019;9;21;20;2;431,315;2019-09-01;862,63
586;2019;9;66;38;9;1930,86;2019-09-01;17377,739999999998
587;2019;9;13;16;1;54,925;2019-09-01;54,925
588;2019;9;72;41;1;424,28;2019-09-01;424,28
589;2019;9;75;22;1;50,0;2019-09-01;50,0
590;2019;9;44;39;1;59,5;2019-09-01;59,5
591;2019;9;78;25;1;50,0;2019-09-01;50,0
592;2019;9;74;42;1;1478,695;2019-09-01;1478,695
593;2019;10;66;17;8;5586,755;2019-10-01;44694,04
594;2019;10;77;20;2;10924,18;2019-10-01;21848,36
595;2019;10;44;42;3;101,08;2019-10-01;303,24
596;2019;10;62;22;3;206,085;2019-10-01;618,255
597;2019;10;66;47;1;51,785;2019-10-01;51,785
598;2019;10;72;39;2;1447,145;2019-10-01;2894,29
599;2019;10;44;9;6;189,07;2019-10-01;1134,42
600;2019;10;23;16;1;736,635;2019-10-01;736,635
601;2019;10;31;39;1;81,5;2019-10-01;81,5
602;2019;10;44;59;1;71,25;2019-10-01;71,25
603;2019;10;44;16;9;3519,065;2019-10-01;31671,585
604;2019;10;66;35;2;-45,085;2019-10-01;-90,17
605;2019;10;21;17;1;74,675;2019-10-01;74,675
606;2019;10;72;2;4;57,855;2019-10-01;231,42
607;2019;10;64;2;1;76,71;2019-10-01;76,71
608;2019;10;44;12;11;1004,175;2019-10-01;11045,925
609;2019;10;6;12;1;70,0;2019-10-01;70,0
610;2019;10;66;20;8;1335,735;2019-10-01;10685,88
611;2019;10;72;12;15;1206,21;2019-10-01;18093,15
612;2019;10;72;43;3;515,475;2019-10-01;1546,4250000000002
613;2019;10;31;12;3;1650,28;2019-10-01;4950,84
614;2019;10;79;12;2;138,63;2019-10-01;277,26
615;2019;10;66;16;18;693,195;2019-10-01;12477,51
616;2019;10;72;19;1;1142,6;2019-10-01;1142,6
617;2019;10;31;57;6;1689,42;2019-10-01;10136,52
618;2019;10;72;1;4;1154,0;2019-10-01;4616,0
619;2019;10;44;38;4;101,415;2019-10-01;405,66
620;2019;10;64;27;1;625,95;2019-10-01;625,95
621;2019;10;56;17;1;968,63;2019-10-01;968,63
622;2019;10;23;20;1;49,085;2019-10-01;49,085
623;2019;10;72;57;4;2562,58;2019-10-01;10250,32
624;2019;10;66;19;9;889,905;2019-10-01;8009,1449999999995
625;2019;10;64;22;1;73,235;2019-10-01;73,235
626;2019;10;44;20;1;122,5;2019-10-01;122,5
627;2019;10;72;16;12;3449,125;2019-10-01;41389,5
628;2019;10;72;56;2;954,01;2019-10-01;1908,02
629;2019;10;72;59;2;314,205;2019-10-01;628,41
630;2019;10;72;35;21;-6215,88;2019-10-01;-130533,48
631;2019;10;66;57;5;331,56;2019-10-01;1657,8
632;2019;10;64;16;3;73,205;2019-10-01;219,615
633;2019;10;55;20;1;86,0;2019-10-01;86,0
634;2019;10;31;16;4;12111,675;2019-10-01;48446,7
635;2019;10;62;27;5;109,99;2019-10-01;549,9499999999999
636;2019;10;75;22;5;721,165;2019-10-01;3605,825
637;2019;10;44;39;1;63,73;2019-10-01;63,73
638;2019;10;31;35;3;-5,885;2019-10-01;-17,655
639;2019;10;66;38;7;774,055;2019-10-01;5418,384999999999
640;2019;10;66;13;1;241,785;2019-10-01;241,785
641;2019;10;72;42;1;162,64;2019-10-01;162,64
642;2019;10;35;55;1;183,095;2019-10-01;183,095
643;2019;10;66;1;6;1968,035;2019-10-01;11808,210000000001
644;2019;10;72;18;1;-335,575;2019-10-01;-335,575
645;2019;10;72;38;7;2803,375;2019-10-01;19623,625
646;2019;10;72;9;8;2530,48;2019-10-01;20243,84
647;2019;10;72;47;1;81,88;2019-10-01;81,88
648;2019;10;72;55;2;307,22;2019-10-01;614,44
649;2019;10;66;9;1;308,825;2019-10-01;308,825
650;2019;10;78;25;1;50,0;2019-10-01;50,0
651;2019;10;66;43;5;394,525;2019-10-01;1972,625
652;2019;10;31;42;1;110,26;2019-10-01;110,26
653;2019;10;43;17;3;633,415;2019-10-01;1900,245
654;2019;10;44;19;1;1220,8;2019-10-01;1220,8
655;2019;10;66;42;1;71,455;2019-10-01;71,455
656;2019;10;24;22;1;100,0;2019-10-01;100,0
