ano,mes,seguradora,vendedor,tot_apolices,receita
2019,10,31,38,1,75
2019,10,31,35,1,"-1020,81"
2019,10,31,16,3,"2103,195"
2019,10,31,14,1,"140,465"
2019,10,31,12,1,"384,58"
2019,10,66,58,1,"236,75"
2019,10,66,57,6,"1861,2"
2019,10,66,56,2,"238,075"
2019,10,66,44,1,"133,69"
2019,10,66,43,1,"62,31"
2019,10,66,42,3,"265,695"
2019,10,66,39,2,"98,595"
2019,10,66,38,13,"2429,15"
2019,10,66,20,6,"460,19"
2019,10,66,19,4,"244,895"
2019,10,66,17,5,"4314,595"
2019,10,66,16,19,"1080,66"
2019,10,66,14,2,"227,44"
2019,10,66,9,2,"201,735"
2019,10,72,59,1,"284,205"
2019,10,72,57,10,"1791,745"
2019,10,72,56,2,"-175,285"
2019,10,72,55,2,"77,76"
2019,10,72,54,2,"373,02"
2019,10,72,44,3,"1280,625"
2019,10,72,42,1,"148,67"
2019,10,72,41,1,"237,14"
2019,10,72,39,1,"621,07"
2019,10,72,38,11,"1990,925"
2019,10,72,35,11,"-447,08"
2019,10,72,20,2,"430,4"
2019,10,72,16,24,"7652,315"
2019,10,72,14,4,"1464,57"
2019,10,72,12,16,"1438,88"
2019,10,72,9,15,"2990,31"
2019,10,72,2,4,"401,535"
2019,10,72,1,2,"1136,04"
2019,11,72,59,2,110
2019,11,72,57,5,"1707,25"
2019,11,72,56,1,"181,69"
2019,11,72,52,1,"788,215"
2019,11,72,47,1,"81,88"
2019,11,72,42,1,"94,87"
2019,11,72,41,1,"237,14"
2019,11,72,38,8,"1893,78"
2019,11,72,35,11,-3724
2019,11,72,20,1,"106,22"
2019,11,72,19,1,"596,3"
2019,11,72,16,11,"1513,43"
2019,11,72,14,2,"3150,74"
2019,11,72,12,15,"947,585"
2019,11,72,9,6,"1019,3"
2019,11,72,2,2,"84,165"
2019,11,72,1,3,"2264,775"
2019,11,66,59,1,"71,42"
2019,11,66,57,6,"943,9"
2019,11,66,56,1,"78,195"
2019,11,66,55,1,"153,05"
2019,11,66,52,1,"274,79"
2019,11,66,43,4,"431,72"
2019,11,66,39,3,"263,87"
2019,11,66,38,5,"887,635"
2019,11,66,35,1,"110,715"
2019,11,66,20,5,"989,525"
2019,11,66,19,5,"1208,33"
2019,11,66,17,4,"768,215"
2019,11,66,16,16,"1511,31"
2019,11,66,14,1,"71,42"
2019,11,66,13,1,"234,11"
2019,11,66,9,5,"374,285"
2019,11,66,2,1,"72,99"
2019,11,31,57,6,"5044,25"
2019,11,31,52,1,"87,5"
2019,11,31,38,5,"202,675"
2019,11,31,35,5,"10779,65"
2019,11,31,16,3,"5105,26"
2019,11,31,12,1,"1144,005"
2019,11,64,27,1,"625,95"
2019,11,64,16,3,"363,695"
2019,11,64,2,1,"76,71"
2019,11,77,20,1,"2124,18"
2019,11,44,59,1,"71,25"
2019,11,44,42,1,"61,875"
2019,11,44,38,5,"122,095"
2019,11,44,20,1,"112,5"
2019,11,44,19,1,"112,5"
2019,11,44,16,8,"73,61"
2019,11,44,13,1,100
2019,11,44,12,8,"417,445"
2019,11,44,9,3,"121,25"
2019,11,55,20,1,"87,5"
2019,11,55,11,1,"67,25"
2019,11,56,17,1,"2955,675"
2019,11,62,22,2,"206,085"
2019,11,75,22,3,"638,665"
2019,11,54,42,1,"1031,16"
2019,11,23,20,1,"172,91"
2019,11,23,16,1,"-31,875"
2019,11,24,22,1,86
