;ano;mes;seguradora;vendedor;tot_apolices;venda;tot_venda;month_name
487;2019;8;44;2;1;69,0;69,0;August
488;2019;8;72;35;1;92,54;92,54;August
489;2019;8;72;56;5;873,705;4368,525000000001;August
490;2019;8;72;15;1;157,52;157,52;August
491;2019;8;31;56;1;157,305;157,305;August
492;2019;8;72;42;2;233,42;466,84;August
493;2019;8;64;26;4;993,07;3972,28;August
494;2019;8;66;16;11;1052,615;11578,765;August
495;2019;8;72;9;3;386,555;1159,665;August
496;2019;8;31;35;5;43908,04;219540,2;August
497;2019;8;66;35;6;341,63;2049,7799999999997;August
498;2019;8;55;12;1;25766,23;25766,23;August
499;2019;8;66;56;6;348,655;2091,93;August
500;2019;8;62;22;4;2532,45;10129,8;August
501;2019;8;72;1;1;349,15;349,15;August
502;2019;8;23;16;2;3410,83;6821,66;August
503;2019;8;72;55;1;289,75;289,75;August
504;2019;8;44;1;1;86,25;86,25;August
505;2019;8;44;9;1;68,195;68,195;August
506;2019;8;66;9;1;105,265;105,265;August
507;2019;8;72;41;3;667,885;2003,655;August
508;2019;8;31;14;1;210,17;210,17;August
509;2019;8;72;44;2;2123,405;4246,81;August
510;2019;8;66;59;3;53,68;161,04;August
511;2019;8;66;55;7;744,665;5212,655;August
512;2019;8;72;14;10;6058,185;60581,850000000006;August
513;2019;8;44;38;7;290,455;2033,185;August
514;2019;8;66;17;2;2165,27;4330,54;August
515;2019;8;21;56;1;54,5;54,5;August
516;2019;8;72;2;5;399,375;1996,875;August
517;2019;8;72;17;2;370,21;740,42;August
518;2019;8;31;55;1;274,295;274,295;August
519;2019;8;72;13;1;90,195;90,195;August
520;2019;8;72;46;2;410,88;821,76;August
521;2019;8;44;12;6;1055,735;6334,41;August
522;2019;8;66;38;2;440,785;881,57;August
523;2019;8;44;59;1;71,25;71,25;August
524;2019;8;77;20;1;2319,855;2319,855;August
525;2019;8;78;25;1;50,0;50,0;August
526;2019;8;72;20;1;2154,725;2154,725;August
527;2019;8;72;47;1;86,43;86,43;August
528;2019;8;44;42;14;349,85;4897,900000000001;August
529;2019;8;66;58;1;236,755;236,755;August
530;2019;9;72;12;13;1109,27;14420,51;September
531;2019;9;66;20;10;253,825;2538,25;September
532;2019;9;35;22;1;273,97;273,97;September
533;2019;9;64;22;2;200,54;401,08;September
534;2019;9;72;39;1;621,07;621,07;September
535;2019;9;72;59;1;102,705;102,705;September
536;2019;9;44;16;13;560,895;7291,635;September
537;2019;9;66;17;1;59,795;59,795;September
538;2019;9;66;44;2;243,03;486,06;September
539;2019;9;72;1;13;1399,175;18189,274999999998;September
540;2019;9;72;35;2;291,17;582,34;September
541;2019;9;31;9;3;149,0;447,0;September
542;2019;9;44;42;2;69,0;138,0;September
